track_id,label,x,y,z,img_name_0,x_0,y_0,r_0,xrep_0,yrep_0,error_0,x1cm_0,y1cm_0,img_name_1,x_1,y_1,r_1,xrep_1,yrep_1,error_1,x1cm_1,y1cm_1,img_name_2,x_2,y_2,r_2,xrep_2,yrep_2,error_2,x1cm_2,y1cm_2,img_name_3,x_3,y_3,r_3,xrep_3,yrep_3,error_3,x1cm_3,y1cm_3,img_name_4,x_4,y_4,r_4,xrep_4,yrep_4,error_4,x1cm_4,y1cm_4
0,baya,-2.66443,0.7217,43.3377,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,frame_000048.PNG,588,1152,34.5487,563.032,1146.61,25.5422,596.831,1111.89,frame_000078.PNG,717,1322,36.2117,701.86,1310.91,18.7653,743.74,1285.46,frame_000102.PNG,626,1273,38.9217,639.512,1282.38,16.4468,625.703,1243.74,frame_000237.PNG,520,1225,32.0301,548.558,1246.71,35.87,548.968,1211.89
1,baya,-1.59299,1.08659,43.5975,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,frame_000048.PNG,618,1176,38.218,611.107,1173.26,7.4187,644.32,1137.07,frame_000078.PNG,756,1347,40.9225,750.411,1341.38,7.92295,792.438,1314.47,frame_000102.PNG,677,1300,43.5561,683.855,1301.04,6.9337,668.743,1262.77,frame_000237.PNG,581,1258,37.3186,585.645,1261.82,6.01312,584.024,1227.08
2,baya,-0.13994,1.02938,45.4239,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,frame_000048.PNG,693,1182,37.0203,687.317,1180.05,6.00868,721.77,1140.48,frame_000078.PNG,834,1361,38.5811,830.097,1353.75,8.23677,874.859,1324.38,frame_000102.PNG,754,1316,40.7521,747.858,1310.67,8.13167,731.414,1274.68,frame_000237.PNG,618,1261,33.9249,636.11,1267.64,19.2884,631.832,1234.45
3,baya,-1.00517,5.1636,34.1759,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,frame_000048.PNG,618,1337,40.3876,613.456,1332.67,6.27478,636.113,1302.14,frame_000078.PNG,748,1517,42.1428,743.328,1506.4,11.5832,772.925,1480.78,frame_000102.PNG,670,1475,43.2019,660.822,1471.99,9.65779,643.04,1417.3,frame_000237.PNG,574,1414,37.7576,593.166,1409.85,19.6092,591.722,1364.02
4,baya,0.259756,3.82549,40.1215,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,frame_000048.PNG,690,1277,44.1613,694.878,1277.88,4.957,721.579,1242.56,frame_000078.PNG,835,1460,47.5635,832.241,1455.19,5.54392,867.894,1426.8,frame_000102.PNG,763,1420,49.2294,751.771,1415.36,12.1489,733.895,1371.84,frame_000237.PNG,644,1364,41,649.577,1358.55,7.79691,645.081,1320.15
5,baya,-0.590692,5.794,32.2259,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,frame_000048.PNG,610,1371,35.0897,614.537,1369.19,4.88468,635.635,1339.35,frame_000078.PNG,744,1550,36.5121,742.692,1545.05,5.12254,770.444,1519.48,frame_000102.PNG,680,1511,37.2265,672.341,1513.05,7.92828,652.943,1453.49,frame_000237.PNG,605,1459,33.3912,609.981,1442.77,16.978,607.815,1393.78
6,baya,-0.757307,4.05897,37.6229,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,frame_000048.PNG,628,1293,33.7384,635.761,1292.36,7.78708,661.104,1259.62,frame_000078.PNG,769,1467,36.4724,769.12,1465.92,1.08345,802.281,1439.28,frame_000102.PNG,703,1426,39.4222,693.718,1417.41,12.6463,676.498,1369.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,baya,-2.99907,2.47772,38.4539,frame_000000.PNG,514,1164,35.8301,545.763,1168.62,32.098,547.991,1123.21,frame_000048.PNG,523,1220,41.6401,543.759,1226.32,21.699,571.931,1195.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,frame_000237.PNG,577,1316,36.6808,521.944,1295.68,58.6856,524.029,1256.09
8,baya,-3.83942,0.596271,41.9026,frame_000000.PNG,533,1092,30.8087,529.142,1093.21,4.04376,532.53,1052.64,frame_000048.PNG,516,1148,36.4215,505.669,1144.72,10.8396,538.656,1112.23,frame_000078.PNG,648,1307,38.513,642.803,1305.2,5.49903,682.922,1281.33,frame_000102.PNG,569,1257,39.6321,583.308,1266.35,17.0899,570.932,1225.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,baya,-3.88799,3.23506,39.5143,frame_000000.PNG,533,1213,38.9314,506.797,1199.81,29.3354,511.445,1155.96,frame_000048.PNG,521,1283,44.6319,522.647,1278.96,4.35998,549.511,1248.18,frame_000078.PNG,650,1447,47.2949,652.741,1444.15,3.95322,686.373,1419.58,frame_000102.PNG,575,1401,48.7975,557.203,1373.15,33.049,545.603,1328.26,frame_000237.PNG,522,1356,39.8328,489.475,1327.5,43.2482,493.091,1288.92
10,baya,-2.67637,2.31206,36.6054,frame_000000.PNG,558,1150,31.9718,555.9,1159.06,9.30269,557.661,1110.91,frame_000048.PNG,547,1211,37.2427,516.53,1205.65,30.9368,539.117,1180.48,frame_000078.PNG,678,1377,39.0415,646.177,1365.96,33.6828,673.719,1345.43,frame_000102.PNG,599,1330,39.4008,595.248,1316.41,14.1023,580.316,1268.11,frame_000237.PNG,526,1287,32.22,529.959,1283.26,5.44558,531.761,1241.69
11,cal_1,-6.26804,6.71089,31.7097,frame_000000.PNG,300.2,1389.6,0,306.805,1382.19,9.9273,323.302,1326.58,frame_000048.PNG,247.94,1454.04,0,250.87,1437.79,16.5073,274.623,1412.73,frame_000078.PNG,361.56,1592.38,0,367.381,1590.4,6.14835,395.415,1569.37,frame_000102.PNG,290.46,1533.98,0,318.169,1546.66,30.4716,312.352,1485.24,frame_000237.PNG,330.35,1472.38,0,327.68,1478.16,6.36879,339.247,1430
12,cal_2,-5.64448,-1.47685,25.7266,frame_000000.PNG,329.2,836.3,0,326.77,836.239,2.43116,359.684,773.407,frame_000048.PNG,254.9,867.6,0,253.71,870.826,3.43881,266.837,866.535,frame_000078.PNG,387.37,1013.13,0,390.862,1010.48,4.38332,403.693,1006.04,frame_000102.PNG,291.41,954.73,0,291.959,943.83,10.9134,281.14,874.253,frame_000237.PNG,324.11,999.13,0,332.269,1009.54,13.2278,353.256,957.667
64,baya,-53.0711,32.5946,-8.86086,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
